Station,Temperatur
Arkona,9.775
Bremen-Flughafen,14.442857142857145
Cuxhaven,11.821428571428573
Emden-Flughafen,13.482142857142858
Greifswald,12.49642857142857
Hamburg-Fuhlsbüttel,13.728571428571426
Hannover-Langenhagen,14.332142857142857
Helgoland,9.621428571428572
Kiel-Holtenau,12.407142857142857
List auf Sylt,10.571428571428573
Marnitz,13.857142857142858
Norderney,10.607142857142858
Rostock-Warnemünde,11.325
Schleswig,13.200000000000005
Schwerin,13.514285714285716
Westermarkelsdorf,10.492857142857144
Angermünde,14.482142857142858
Berlin-Tegel,15.171428571428569
Brocken,6.964285714285715
Cottbus,15.507142857142854
Dresden-Klotzsche,14.44285714285714
Erfurt-Bindersleben,14.210714285714285
Fichtelberg,8.089285714285717
Gera-Leumnitz,14.164285714285713
Görlitz,14.453571428571433
Leipzig-Schkeuditz,14.675000000000002
Lindenberg,14.76428571428571
Magdeburg,15.535714285714288
Meiningen,14.125000000000002
Neuruppin-Alt Ruppin,14.703571428571427
Potsdam,15.792857142857143
Augsburg-Mühlhausen,16.12142857142857
Bamberg,16.72857142857143
Feldberg/Schwarzwald,8.500000000000002
Freudenstadt,14.039285714285713
Fürstenzell,15.864285714285714
Grosser Arber,7.689285714285716
Hof Hohensaas,13.342857142857143
Hohenpeissenberg,13.464285714285714
Kempten,15.917857142857141
Konstanz,17.378571428571426
Lahr,18.260714285714283
Mannheim,18.28214285714285
München-Flughafen,16.389285714285712
Nürnberg-Flughafen,16.621428571428574
Oberstdorf,15.946428571428573
Oehringen,17.75
Regensburg,17.571428571428573
Rheinstetten,18.103571428571424
Straubing,16.732142857142854
Stuttgart-Echterdingen,16.75
Weiden,14.949999999999998
Würzburg,17.12142857142857
Zugspitze,-2.2642857142857147
Aachen,15.164285714285711
Bad Lippspringe,15.232142857142858
Düsseldorf-Flughafen,16.70357142857143
Frankfurt/M.-Flughafen,17.43928571428572
Fritzlar,14.767857142857139
Gießen Wettenberg,15.607142857142858
Hahn-Flughafen,14.046428571428573
Kahler Asten,10.960714285714287
Köln-Wahn,17.264285714285716
Münster/Osnabrück-Flughafen,15.525000000000002
Nürburg-Barweiler,14.003571428571428
Offenbach/Wetterpark,17.03571428571429
Saarbrücken/Ensheim,16.65
Trier-Petrisberg,17.33571428571429
Wasserkuppe,11.575000000000001
