Station,Temperatur
Arkona,17.488000000000003
Bremen-Flughafen,20.940000000000005
Cuxhaven,19.512
Emden-Flughafen,19.227999999999998
Greifswald,20.092
Hamburg-Fuhlsbüttel,20.872
Hannover-Langenhagen,20.991999999999997
Helgoland,17.12
Kiel-Holtenau,19.848
List auf Sylt,19.044000000000004
Marnitz,21.736000000000004
Norderney,17.692
Rostock-Warnemünde,19.416
Schleswig,20.160000000000004
Schwerin,21.092000000000006
Westermarkelsdorf,18.376
Angermünde,22.916
Berlin-Tegel,23.215999999999994
Brocken,12.708
Cottbus,22.811999999999998
Dresden-Klotzsche,21.403999999999996
Erfurt-Bindersleben,19.792
Fichtelberg,13.792
Gera-Leumnitz,20.703999999999997
Görlitz,20.704000000000004
Leipzig-Schkeuditz,22.031999999999996
Lindenberg,22.512000000000004
Magdeburg,22.452
Meiningen,18.704000000000004
Neuruppin-Alt Ruppin,22.924000000000007
Potsdam,23.06
Augsburg-Mühlhausen,19.432
Bamberg,20.659999999999997
Feldberg/Schwarzwald,10.264
Freudenstadt,16.451999999999998
Fürstenzell,16.359999999999992
Grosser Arber,12.052
Hof Hohensaas,18.307999999999996
Hohenpeissenberg,16.048
Kempten,17.779999999999998
Konstanz,20.060000000000006
Lahr,21.3
Mannheim,21.319999999999997
München-Flughafen,19.68
Nürnberg-Flughafen,20.264000000000003
Oberstdorf,18.092
Oehringen,20.391999999999996
Regensburg,20.959999999999994
Rheinstetten,21.476000000000003
Straubing,20.283999999999995
Stuttgart-Echterdingen,19.78
Weiden,19.472
Würzburg,20.619999999999994
Zugspitze,2.14
Aachen,19.276000000000003
Bad Lippspringe,20.076
Düsseldorf-Flughafen,21.296
Frankfurt/M.-Flughafen,21.783999999999995
Fritzlar,20.396
Gießen Wettenberg,20.623999999999995
Hahn-Flughafen,17.924
Kahler Asten,14.976
Köln-Wahn,21.003999999999998
Münster/Osnabrück-Flughafen,20.78
Nürburg-Barweiler,17.724
Offenbach/Wetterpark,21.539999999999996
Saarbrücken/Ensheim,20.052000000000003
Trier-Petrisberg,20.736000000000004
Wasserkuppe,14.972000000000001
