Station,Temperatur
Arkona,5.307142857142857
Bremen-Flughafen,8.164285714285715
Cuxhaven,7.471428571428571
Emden-Flughafen,8.614285714285716
Greifswald,6.564285714285715
Hamburg-Fuhlsbüttel,8.135714285714286
Hannover-Langenhagen,7.892857142857143
Helgoland,6.8999999999999995
Kiel-Holtenau,7.335714285714286
List auf Sylt,7.52857142857143
Marnitz,7.257142857142857
Norderney,7.721428571428572
Rostock-Warnemünde,6.95
Schleswig,7.971428571428573
Schwerin,7.564285714285714
Westermarkelsdorf,6.164285714285714
Angermünde,7.200000000000001
Berlin-Tegel,7.942857142857143
Brocken,-0.9642857142857141
Cottbus,8.057142857142857
Dresden-Klotzsche,6.957142857142857
Erfurt-Bindersleben,7.1071428571428585
Fichtelberg,-0.5142857142857143
Gera-Leumnitz,10.435714285714283
Görlitz,6.635714285714286
Leipzig-Schkeuditz,7.564285714285715
Lindenberg,7.957142857142857
Magdeburg,8.500000000000002
Meiningen,7.142857142857143
Neuruppin-Alt Ruppin,7.228571428571429
Potsdam,7.9142857142857155
Augsburg-Mühlhausen,7.728571428571429
Bamberg,9.07857142857143
Feldberg/Schwarzwald,0.08571428571428573
Freudenstadt,4.578571428571428
Fürstenzell,7.214285714285714
Grosser Arber,-1.6
Hof Hohensaas,5.607142857142857
Hohenpeissenberg,3.15
Kempten,6.528571428571429
Konstanz,8.85
Lahr,10.057142857142859
Mannheim,10.907142857142857
München-Flughafen,7.7714285714285705
Nürnberg-Flughafen,8.964285714285714
Oberstdorf,7.278571428571429
Oehringen,9.635714285714284
Regensburg,9.721428571428572
Rheinstetten,9.87142857142857
Straubing,8.842857142857143
Stuttgart-Echterdingen,7.9142857142857155
Weiden,7.235714285714286
Würzburg,9.607142857142858
Zugspitze,-8.75
Aachen,8.178571428571427
Bad Lippspringe,8.607142857142858
Düsseldorf-Flughafen,10.192857142857141
Frankfurt/M.-Flughafen,10.578571428571426
Fritzlar,8.400000000000002
Gießen Wettenberg,9.107142857142858
Hahn-Flughafen,7.185714285714286
Kahler Asten,3.057142857142857
Köln-Wahn,10.9
Münster/Osnabrück-Flughafen,8.771428571428572
Nürburg-Barweiler,6.557142857142857
Offenbach/Wetterpark,10.428571428571427
Saarbrücken/Ensheim,9.157142857142857
Trier-Petrisberg,10.150000000000002
Wasserkuppe,3.8642857142857134
