Station,Temperatur
Arkona,11.565384615384618
Bremen-Flughafen,14.476923076923079
Cuxhaven,13.157692307692306
Emden-Flughafen,13.180769230769236
Greifswald,12.5
Hamburg-Fuhlsbüttel,13.646153846153844
Hannover-Langenhagen,13.911538461538463
Helgoland,11.296153846153848
Kiel-Holtenau,13.353846153846156
List auf Sylt,11.192307692307692
Marnitz,13.688461538461542
Norderney,11.896153846153844
Rostock-Warnemünde,12.396153846153842
Schleswig,13.715384615384618
Schwerin,13.876923076923076
Westermarkelsdorf,12.26538461538461
Angermünde,13.37307692307692
Berlin-Tegel,14.284615384615382
Brocken,6.111538461538463
Cottbus,14.21153846153846
Dresden-Klotzsche,14.061538461538467
Erfurt-Bindersleben,13.28076923076923
Fichtelberg,6.857692307692308
Gera-Leumnitz,13.442307692307695
Görlitz,13.038461538461538
Leipzig-Schkeuditz,13.519230769230772
Lindenberg,13.88846153846154
Magdeburg,14.849999999999998
Meiningen,12.61923076923077
Neuruppin-Alt Ruppin,13.58076923076923
Potsdam,14.273076923076921
Augsburg-Mühlhausen,14.10769230769231
Bamberg,14.80769230769231
Feldberg/Schwarzwald,7.965384615384617
Freudenstadt,12.153846153846153
Fürstenzell,13.626923076923077
Grosser Arber,6.430769230769233
Hof Hohensaas,12.103846153846153
Hohenpeissenberg,11.742307692307694
Kempten,13.626923076923077
Konstanz,16.480769230769226
Lahr,16.696153846153848
Mannheim,17.29615384615385
München-Flughafen,13.565384615384618
Nürnberg-Flughafen,15.142307692307696
Oberstdorf,13.384615384615387
Oehringen,16.376923076923077
Regensburg,15.449999999999998
Rheinstetten,16.98846153846154
Straubing,14.684615384615379
Stuttgart-Echterdingen,15.126923076923077
Weiden,13.988461538461536
Würzburg,15.719230769230771
Zugspitze,-2.4000000000000004
Aachen,14.25769230769231
Bad Lippspringe,13.907692307692306
Düsseldorf-Flughafen,15.55384615384615
Frankfurt/M.-Flughafen,16.599999999999994
Fritzlar,13.53846153846154
Gießen Wettenberg,15.153846153846159
Hahn-Flughafen,13.43846153846154
Kahler Asten,9.688461538461539
Köln-Wahn,16.415384615384617
Münster/Osnabrück-Flughafen,15.05
Nürburg-Barweiler,13.31153846153846
Offenbach/Wetterpark,16.08846153846154
Saarbrücken/Ensheim,15.784615384615385
Trier-Petrisberg,16.17692307692308
Wasserkuppe,9.607692307692309
