Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,6.9,12.96
Bremen-Flughafen,Regen,8.3,6.48
Cuxhaven,Stark Bewölkt,8.1,12.96
Emden-Flughafen,Bedeckt,9.2,8.279999
Greifswald,Stark Bewölkt,9.1,15.12
Hamburg-Fuhlsbüttel,Stark Bewölkt,8.9,5.76
Hannover-Langenhagen,Stark Bewölkt,10.6,8.64
Helgoland,Stark Bewölkt,8.5,10.08
Kiel-Holtenau,Leicht Bewölkt,9.6,12.96
List auf Sylt,Stark Bewölkt,8.1,15.84
Marnitz,Leichter Sprühregen,7.0,6.12
Norderney,Bedeckt,8.1,11.16
Rostock-Warnemünde,Leicht Bewölkt,7.4,12.24
Schleswig,Stark Bewölkt,8.6,14.04
Schwerin,Bedeckt,7.9,6.84
Westermarkelsdorf,Wolkig,7.4,16.56
Angermünde,Regen,7.9,7.2
Berlin-Tegel,Stark Bewölkt,13.6,11.16
Brocken,Stark Bewölkt,8.3,14.76
Cottbus,Bedeckt,13.7,6.48
Dresden-Klotzsche,Wolkig,14.0,12.6
Erfurt-Bindersleben,Leicht Bewölkt,14.4,9.0
Fichtelberg,Stark Bewölkt,8.3,18.36
Gera-Leumnitz,-,15.7,20.16
Görlitz,Wolkig,14.6,9.36
Leipzig-Schkeuditz,Wolkig,15.3,7.2
Lindenberg,Bedeckt,15.1,14.76
Magdeburg,Leicht Bewölkt,16.0,12.24
Meiningen,Stark Bewölkt,14.2,2.88
Neuruppin-Alt Ruppin,Bedeckt,9.0,9.0
Potsdam,Stark Bewölkt,15.1,13.68
Augsburg-Mühlhausen,Wolkenlos,16.9,11.52
Bamberg,Wolkig,16.1,9.36
Feldberg/Schwarzwald,Leicht Bewölkt,9.9,9.36
Freudenstadt,Leicht Bewölkt,14.8,11.16
Fürstenzell,Wolkenlos,15.8,5.4
Grosser Arber,Stark Bewölkt,7.6,8.64
Hof Hohensaas,Stark Bewölkt,14.4,8.64
Hohenpeissenberg,Wolkenlos,13.9,9.72
Kempten,Wolkenlos,17.0,4.68
Konstanz,Wolkenlos,16.7,5.04
Lahr,Wolkenlos,16.4,9.36
Mannheim,Wolkenlos,17.2,7.56
München-Flughafen,Leicht Bewölkt,16.6,13.32
Nürnberg-Flughafen,Stark Bewölkt,15.9,5.04
Oberstdorf,Wolkenlos,17.6,10.44
Oehringen,Wolkenlos,17.5,7.56
Regensburg,Wolkenlos,18.7,7.2
Rheinstetten,Trocken,17.6,9.0
Straubing,Wolkenlos,16.4,2.16
Stuttgart-Echterdingen,Leicht Bewölkt,16.4,4.68
Weiden,Wolkig,15.0,5.76
Würzburg,Leicht Bewölkt,16.2,9.36
Zugspitze,Wolkenlos,1.2,6.48
Aachen,Stark Bewölkt,14.4,7.2
Bad Lippspringe,Bedeckt,14.6,9.72
Düsseldorf-Flughafen,Leicht Bewölkt,16.1,3.6
Frankfurt/M.-Flughafen,Leicht Bewölkt,16.5,9.0
Fritzlar,Stark Bewölkt,14.4,7.2
Gießen Wettenberg,Stark Bewölkt,15.5,5.4
Hahn-Flughafen,Trocken,14.1,10.44
Kahler Asten,Bedeckt,9.6,9.36
Köln-Wahn,Leicht Bewölkt,16.2,3.24
Münster/Osnabrück-Flughafen,Stark Bewölkt,12.4,9.0
Nürburg-Barweiler,Bedeckt,12.8,5.04
Offenbach/Wetterpark,Wolkenlos,16.8,5.76
Saarbrücken/Ensheim,Leicht Bewölkt,15.7,6.12
Trier-Petrisberg,Wolkenlos,16.1,10.44
Wasserkuppe,Stark Bewölkt,10.4,5.04
