Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leichter Regen,17.3,15.12
Bremen-Flughafen,Stark Bewölkt,23.0,7.56
Cuxhaven,Leicht Bewölkt,23.5,11.16
Emden-Flughafen,Stark Bewölkt,23.4,11.16
Greifswald,Regenschauer,18.5,2.52
Hamburg-Fuhlsbüttel,Wolkig,24.4,14.04
Hannover-Langenhagen,Wolkig,24.8,12.24
Helgoland,Wolkig,21.0,10.8
Kiel-Holtenau,Wolkig,23.6,7.2
List auf Sylt,Leicht Bewölkt,21.4,18.36
Marnitz,Stark Bewölkt,23.4,6.48
Norderney,Bedeckt,22.6,10.44
Rostock-Warnemünde,Leicht Bewölkt,20.4,9.72
Schleswig,Leicht Bewölkt,23.6,11.52
Schwerin,Stark Bewölkt,24.4,7.56
Westermarkelsdorf,Wolkenlos,21.4,9.72
Angermünde,Leichter Regen,22.7,14.4
Berlin-Tegel,Wolkig,24.6,5.76
Brocken,Stark Bewölkt,15.8,7.92
Cottbus,Leicht Bewölkt,24.7,9.36
Dresden-Klotzsche,Wolkig,22.9,12.96
Erfurt-Bindersleben,Wolkig,23.9,6.48
Fichtelberg,Leicht Bewölkt,16.8,13.32
Gera-Leumnitz,Wolkig,23.3,8.279999
Görlitz,Leicht Bewölkt,22.9,10.44
Leipzig-Schkeuditz,Wolkig,24.9,10.44
Lindenberg,Wolkig,24.5,13.68
Magdeburg,Wolkenlos,25.2,2.88
Meiningen,Bedeckt,21.9,10.44
Neuruppin-Alt Ruppin,Wolkig,23.0,8.64
Potsdam,Stark Bewölkt,25.2,8.64
Augsburg-Mühlhausen,Wolkig,23.2,5.4
Bamberg,Wolkig,24.2,6.48
Feldberg/Schwarzwald,Wolkig,15.2,15.84
Freudenstadt,Bedeckt,20.9,4.32
Fürstenzell,Leicht Bewölkt,21.1,11.16
Grosser Arber,Stark Bewölkt,12.5,6.84
Hof Hohensaas,Stark Bewölkt,20.8,7.92
Hohenpeissenberg,Leicht Bewölkt,19.3,6.12
Kempten,Leicht Bewölkt,23.1,8.64
Konstanz,Bedeckt,24.2,6.12
Lahr,Bedeckt,26.4,6.84
Mannheim,Stark Bewölkt,24.9,9.36
München-Flughafen,Wolkig,22.7,6.12
Nürnberg-Flughafen,Wolkig,23.6,8.64
Oberstdorf,Wolkenlos,24.0,10.8
Oehringen,Wolkig,25.6,6.48
Regensburg,Stark Bewölkt,23.9,4.68
Rheinstetten,Wolkig,26.2,5.04
Straubing,Stark Bewölkt,22.8,11.16
Stuttgart-Echterdingen,Stark Bewölkt,24.3,6.12
Weiden,Stark Bewölkt,22.7,9.36
Würzburg,Stark Bewölkt,25.1,10.08
Zugspitze,Wolkig,4.3,14.04
Aachen,Stark Bewölkt,24.6,15.12
Bad Lippspringe,Leicht Bewölkt,23.6,7.92
Düsseldorf-Flughafen,Stark Bewölkt,26.9,16.92
Frankfurt/M.-Flughafen,Niederschlag,26.1,8.279999
Fritzlar,Wolkig,22.4,14.4
Gießen Wettenberg,Leicht Bewölkt,24.0,7.2
Hahn-Flughafen,Trocken,22.5,8.64
Kahler Asten,Leicht Bewölkt,19.5,12.96
Köln-Wahn,Wolkig,25.4,15.12
Münster/Osnabrück-Flughafen,Stark Bewölkt,24.7,8.279999
Nürburg-Barweiler,Bedeckt,23.0,12.6
Offenbach/Wetterpark,Stark Bewölkt,25.1,4.32
Saarbrücken/Ensheim,Stark Bewölkt,24.5,10.8
Trier-Petrisberg,Stark Bewölkt,22.8,4.68
Wasserkuppe,Stark Bewölkt,19.7,14.4
